n,p,diff_total,diff_count,diff_mean,diff_min,diff_max
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,1,1,1,1,1
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,1,1,1,1,1
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,-1,1,-1,-1,-1
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,1,1,1,1,1
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,1,1,1,1,1
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,1,1,1,1,1
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,1,1,1,1,1
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,1,1,1,1,1
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,1,1,1,1,1
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,1,1,1,1,1
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,1,1,1,1,1
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,1,1,1,1,1
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
10,30,0,1,0,0,0
