n,p,diff_total,diff_count,diff_mean,diff_min,diff_max
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,1,1,1,1,1
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,1,1,1,1,1
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,1,1,1,1,1
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,1,1,1,1,1
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,1,1,1,1,1
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,1,1,1,1,1
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,-1,1,-1,-1,-1
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,0,1,0,0,0
25,20,1,1,1,1,1
25,20,0,1,0,0,0
25,20,0,1,0,0,0
